step,x,v,a,w,w_index,delta,reward,done
1,-0.12234144533132407,-0.19408785572068724,-0.07777935057770075,5.655,0,1,-0.06541698,False
2,-0.4006102669676056,-0.3057455092740232,-0.03954653714229968,5.655,0,1,-0.061685003,False
3,-0.7843064154780749,-0.3875518111274692,-0.015460022922366081,5.655,0,2,-0.05653908,False
4,-1.2433648150576213,-0.44533042947972507,0.0010743765192760153,5.655,0,1,-0.05038242,False
5,-1.7550929311413428,-0.4853544992167353,0.011704679568027588,5.655,0,1,-0.043519363,False
6,-2.302884834085598,-0.5126310365380787,0.017263969137954267,5.655,0,1,-0.036172625,False
7,-2.8750263953187742,-0.5310502799708636,0.01962636865567839,5.655,0,1,-0.028499309,False
8,-3.3672292110506503,-0.35217948899371937,0.1806720897216244,5.027,0,0,-0.02189809,False
9,-3.740800428794147,-0.18242930557244527,0.2584542601414413,4.398,0,1,-0.016887907,False
10,-4.029590969691164,-0.14682137851566474,0.25828211229782205,4.398,0,1,-0.013014765,False
11,-4.266194497785832,-0.11080967067662728,0.14784070163462573,5.027,0,1,-0.009841532,False
12,-4.498015531150675,-0.11580246686424622,0.12009517661910186,5.027,0,1,-0.0067324364,False
13,-0.12234144533132407,-0.19408785572068724,-0.07777935057770075,5.655,0,1,-0.065417506,False
14,-0.4006102669676056,-0.3057455092740232,-0.03954653714229968,5.655,0,2,-0.061685503,False
15,-0.7843064154780749,-0.3875518111274692,-0.015460022922366081,5.655,0,2,-0.05653954,False
16,-1.2433648150576213,-0.44533042947972507,0.0010743765192760153,5.655,0,1,-0.050382826,False
17,-1.7550929311413428,-0.4853544992167353,0.011704679568027588,5.655,0,1,-0.043519713,False
18,-2.302884834085598,-0.5126310365380787,0.017263969137954267,5.655,0,1,-0.03617292,False
19,-2.8750263953187742,-0.5310502799708636,0.01962636865567839,5.655,0,1,-0.02849954,False
20,-3.3672292110506503,-0.35217948899371937,0.1806720897216244,5.027,0,0,-0.021898268,False
21,-3.740800428794147,-0.18242930557244527,0.2584542601414413,4.398,0,1,-0.016888043,False
22,-4.029590969691164,-0.14682137851566474,0.25828211229782205,4.398,0,1,-0.013014871,False
23,-4.266194497785832,-0.11080967067662728,0.14784070163462573,5.027,0,1,-0.009841612,False
24,-4.498015531150675,-0.11580246686424622,0.12009517661910186,5.027,0,1,-0.006732491,False
25,-0.12234144533132407,-0.19408785572068724,-0.07777935057770075,5.655,0,1,-0.065418035,False
26,-0.4006102669676056,-0.3057455092740232,-0.03954653714229968,5.655,0,2,-0.061686,False
27,-0.7843064154780749,-0.3875518111274692,-0.015460022922366081,5.655,0,2,-0.056539997,False
28,-1.2433648150576213,-0.44533042947972507,0.0010743765192760153,5.655,0,2,-0.050383236,False
